Category defaults are already wired into movement creation in the service layer.,,,New movement UI also preloads category defaults.,,,,,,,,,,,,,,
Step 1 add categorize to row 3,,Normalize movement name: trim + lowercase + collapse spaces.,,Step 2 add movements to row 4 and below,,,,,,,,,,,,,
Squat,Squat Sup,Hinge,Hinge Sup,Lunge,Lunge Sup,Push Horizontal,Push Vertical,Pull Horizontal,Pull Vertical,Carry,Planks,Cardio,Accessory,Mobility,Olympic Lifts,Stability,Complex
Squat,Squat Sup,Hinge,Hinge Sup,Lunge,Lunge Sup,Push Horizontal,Push Vertical,Pull Horizontal,Pull Vertical,Carry,Planks,Cardio,Accessories,Mobility,Olympic Lifts,Stability,Complex
Back Squat,DB SS RDLs,Sumo Deadlift,,Walking Deads,Loaded Split Squat,Bench Press - BB,OH Press,Bent Over BB Row,Pull-Up,OH Carry,Reverse Sit Ups,Eliptical,Curl - EZ Bar,Scorpion Twist,Squat Snatch,Rot Jump Down to Stab,Hang Power Snatch
Front Squat,Reverse Nordic,Barbell Deadlift,Nordic Curls,Forward Lunges,Jumping Split Squat,Bench Press - Close Grip,Handstand Push Up,Bent Over DB/KB Row - Lat,Upright Row,Cross Body Carry,Sit Ups,Assault Bike,Curl - Straight Bar,Prone Twist,Power Snatch,Lateral Jump Down to Stab,BB RDL
OH Squat,Sled Pushes,Deadlift from Floor,Glute Ham Developer,OH Walking Lunges,Lateral Split Squat,Bench Press - Incline,Thruster/Plate,Bent Over DB/KB Row - Hi,Jumping Pull-Up,Zercher Carry,Pike Sliders,Bike,Rev Grip Curl + OH Press,Upward Dog,Muscle Snatch,Jump Down to Stab,RDL to High Pull
Safety Bar Squat,Reverse Sled Drag,Deadlift from Appropriate Height,Loaded Back Extensions,Walking Lunges,Contra Split Squat,Slight Incline Press - BB,Push Press,Bench Supported Row,Assisted Pull-Up,Bottoms Up KB Carry,Plank to Hip Flex + Band,Rower,Rev Grip Curl,Upward Dog Wrist Stretch,Snatch Pull,Rot Box Jump to Stab,RDL to Snatch
Box Squat,Sissy Squat,Weighted Good Mornings,Reverse Hyper Extensions,Non Alt-Forward Lunges,Ips Split Squat,Slight Incline Press - DB,Strict Shoulder Press,Non Alt Gorilla Row,TRX Pull Up,Front Rack Carry - BB,Plank Up-Down,Run,Cable Curl,Downward Dog,Hang Squat Snatch,Lateral Box Jump to Stab,RDL to OH Squat
Zercher Squat,Spanish Squats,Box Jumps,Physio Ball Curls,Curtsy Lunges,Bulgarian Split Squats,Bench Press,Military Press,Alt Gorilla Row,BB Snatch,Front Rack Carry - KB,High Plank - Hold,Walking,Preacher Curl,Downward Dog Calf Raises,Hang Power Snatch,Box Jump to Stab,
Hex Bar Squat,Leg Extensions,Hip Thrust,Ball Hammy Curl + Hip Extension,Deficit Reverse Lunge/Step Ups,Front Foot Elevated Split Squat,Bench Press - DB,Seated Military Press,3 Pt DB/KB Bent Over Rows,BB Clean,SS Rack Carry,Tricep Press Plank,Ski Erg,DB Hammer Curl,90/90 Rotations,Hang Muscle Snatch,Rot Hop to SL,
Sumo Squat,Leg Press Machine,Hip Thrust B Stance,Slider Hammy Curl + Hip Extension,"Loaded Lateral Lunge, OH",B Stance Squat,Bench Press - SADB Alt.,Handstand Push-Up,Landmine Rows,BB Hang Snatch,Rack Carry,Bear Stance,Jump Rope,DB Curl,90/90,Hang Snatch,Lateral Hop to SL,
Leg Press,Side Plank,BB RDLs,Kickstand RDL + Rotation,"Loaded Lateral Lunge, FR",B Stance Hinge,Bench Press - SADB,Pike Press on box,Face Pulls + Press,BB High Pulls,Rack Carry Hold,Mountain Climbers,High Jumps,DB Curl - Alt.,Egg Rocks,Tall Snatch,Front Hop to SL,
KBFR Squat to OH,Side Plank Hip Thrust,Sumo DB RDLs to High Pull,Airplane Hinges,"Loaded Lateral Lunge, Low",Split Squat Hold,Push Up - BW,BW Pike Press,Face Pulls,KB Snatch,Suitcase Carry,High Plank Pull Through,Low Jumps,Wide Arm Curl,Cat/Cow,DB Snatch,Rot Step Up to Bal,Squat Snatch
KBFR Squat,Mini Band Glute Med Drills,Sumo DB RDLs,B Stance SL Hinge,Lateral Lunge,1.5 Rep Split Squat,Push Up - Elevated,Dips,Low Cable Row,KB Clean,Farmer's Carry,Side Plank + Extention to Contraction,Squat Jump,Banded Curl,Seated Lateral Arm Raise,Snatch Balance,Lateral Step Up to Bal,BB RDL
Dmax Squat to Rot Press,Hip Bridges/Thrust,DB RDLs to High Pull,Low Back Extension,Reverse Lunge,Bodyweight Split Squat,Decline Push Up,Pin Press,Inverted Row S,DB Snatch,Shoulder Carry - MB,Wheel Roll Outs,Alt SA KB Swing,Bicep Curl - TRX,Groiner,Squat Clean,Step Up to Bal,RDL to High Pull
Dmax OH Toss,Med Ball Thruster,DB RDLs,Machine Hamstring Curls,Reverse Lunge - Contra,Assisted Split Squat,Loaded Push Up,Ground to Overhead,Inverted Row P,DB Hang Snatch,High Knee Skip,Side Lying Hip Dips - Bench Elevated,SA KB Swing,Plate Curls,Groiner Plus Rotation,Power Clean,Rot Lunge Loaded to Bal ,RDL to Snatch
Dmax Squat to OH Press,Med Ball Slam w/ ext,DB B Stance RDL,Bridge Walk Outs,Reverse Lunge - Ips,Step Up + OH Press,Push Up - Suspension,Z Press,TRX Pull Up,DB Clean,Dynamax Rotational Toss,Side Lying Hip Dips,KB Swing,Front + Lateral Raises,Walkouts/Walkins,Tall Clean,Lateral Lunge Loaded to Bal,RDL to 1/4 Squat Snatch
Dmax Squat,Med Ball Rot Slam,SS RDLs,Loaded Glute Bridge,Rev Lunge  - Reactive MB Catch,Front Reach Step Down,Push Up - Kneeling,Classic KB Press,TRX SS Row w/ Rot,Dynamax Clean,Dynamax Rotational Pass,Side Plank,Up Down,Front Raises,Pigeon Pose,Hang Squat Clean,Lunge Loaded to Bal,
LM Squat to OH SA Press,Med Ball Rot,SA KB Swing,Banded Glute Bridge,OH Rev Lunge,depth drop to jump,Plyo Push Up,DB Curl to OH Press,TRX SS Row,Yates Row,Mixed Carry,Side Lying Hip Thrust,Plank Jack,Lateral Raises,Windscreen Wiper Hold,Hang Power Clean,Rev Lunge Loaded to Bal,
LM Squat to OH Press,Med Ball Slam,"KB Swings, High",SL Bridge Bridge Hold,FR Rev Lunge,Step Down,Uneven Push Up,Rev Curl to OH Press,TRX High Pull,Pull Overs,Renegade Rows,Side Lying Hip Dips,Lunge,Rear Delt Raises,Quadruped Hip Side to Side,High Hang Clean,Rot Lunge TT to Bal,
Landmine Squat,Med Ball OH Toss,Double KB Swing,SL Bridge Bridge/Thrust,Loaded Reverse Lunge,Lateral Step Up,Cable Pressing,DB Alt Shoulder Press,TRX Row,Lat Pull Down - Wide Grip,Standing Mixed Windmill,TRX High Plank,Jumping Lunge,Skullcrusher - DB,Wall Diamonds,Clean and Jerk,Lateral Lunge TT to Bal,
Goblet Squat,Calf Holds,KB Swings,Hip Bridges/Thrust,BW Reverse Lunge,Loaded Step Up,Floor Press,DB Shoulder Press,Superman,Lat Pull Down w/Lunge Position,Standing OH Windmill,High Plank Knee Crunch,Butt Kicks,Skullcrusher - Bar,Lying Wall Squat Pose,Power Clean and Jerk,Lunge TT to Bal,
"Goblet Squat to ""Variation""",Calf Raises,"KB Swings, Low",Sled Side Steps,Assisted Reverse Lunge,Alt Step Up,SA Floor Press,Arnold Press,Cable High Pulls,Lat Pull Down,Standing Low Windmill,High Plank Shoulder Taps,High Knees,Tricep Dips,Lying Wall Pigeon,Squat Jerk,Rev Lunge TT to Bal,
Goblet Squat to Box,Tib Raises,Hinge to OH Press,Sled Pull High Row,Sled Push,Step Up,Alt. Floor Press,KB Bottom Up Press,Banded High Row,Lat Pull Down - SA,Turkish Get Ups,High Plank Holds,Jumping Jacks,Bench Tricep Dips,Frog Pose,Split Jerk,Rot Lunge to Bal,
Wall Sit,Tib Walks,"Cable Angled Deadlifts, Sumo",Sled Pull,,,Hand Release Push Up,UD/DD Toe Tap,"Cable Rows, High to Low",Lat Pull Down - SA Alt.,KB Standing Side Crunch,High Plank - Leg Lift,Laterals,Tricep Pushdown,Frog Pose + Reach,Behing Neck Split Jerk,Lateral Lunge to Bal,
Air Squat + Pause,Wall Balls,"Cable Angled Deadlifts, Mid",Sled Row,,,UD/DD to Press,UD to DD,"Cable Rows, Low to High",Neutral Grip Pull Downs,Windmill Kneeling,Bicycle Crunches,Tuck Jump,Tricep Kickback,Frog Pose + Child Pose,Push Press,Lunge to Bal,
Bodyweight Squat,Wall Balls Calf Ext.,"Cable Angled Deadlifts, Narrow",Glute Bridge,,,Push Up - Suspension,Band Press,Cable Rows,Straight Arm Pull Downs,Wrist Curls,Hollow Hold + SA Press,Box Jumps,Tricep Extension,Shoulder Chicken Wing,Behind Neck Push Press,Rev Lunge to Bal,
TRX Squat to Rot,Lateral Steps - Cable,BW Good Morning,Lateral Hip Lifts,,,Push Up - Kneeling,Landmine Press,Banded Row,Swimmers,Plate Rotations,Hollow Hold + Lat Pull Down,Boxing Rounds,Tricep Extension - SA,Shoulder Figure 8,Overhead Squat,SL RDL Touchdown,
TRX Squat to High Pull,Lateral Steps - Banded,Anterior Loaded Good Mornings,Lateral Hip Step Ups,,,Machine Press,Landmine Press - SA,Cable Low Pull,High Angle Cable Rows,Plate Curls,Hollow Hold,Band Assisted Jumps,OH Tricep Extension,Childs Pose + SS Reach,Overhead Split Squat,SL Squat Touchdown,
TRX Squat,TKE - Banded,,,,,Chest Slam,Machine Press,Machine Row,Y's and A's,,Knee/Elbow Crunch,Cardio of Choice,WGS - Weighted,,,,
Squat Movement,Internal Rot. - Banded,BW Hinge Patterning,Kneeling/Standing Banded Thrusts,,,Chest Fly - Cable,W's and T's,Cable Curl,Shoulder Shrugs,Wrist Flexion,Hanging Leg Lifts,,Serratus Press Variation,Childs Pose + Elbow Drive,Front Squat,SL Squat,
SA FR Squat,90:90 Alt. Pelvic Lifts,Hex Bar DL,Machine ADductor,,,Chest Fly - DB,ER Variation,Cable Curl + OH Press,SS Shoulder Shrug,Wrist Rotations,Leg Lifts,,Machine Tricep Ext,Wrist Rolling Ext.,High Pulls,SL w/Variation,
,,,Cat/Cow,,,Floor Press,DB GTO,Preacher Curl,Incline Shrug,,L Sit,,Wrist Curls,Low Squat Bounces,Hang High Pulls,SL Balance Reach,
,,,Hip Cars,,,SA Floor Press,Wall Slides,DB Hammer Curl,Scap Pull up,,L Sit - Leg raises,,Wrist Flexion,Lying Quad Stretch,Below the Knee High Pulls,SL WIndmill,
,,,Leg Ext,,,Tricep Ext,,DB Curls,,,BirdDog,,Wrist Rotations,Kneeling Pec Stretch,Sots Press,SL Two Arm Reach Loaded,
,,,SL Ext,,,Overhead Tricep Ext,,Banded Curls,,,Deadbug,,Calf Raises,Kneeling Knee drive to Hami,Jump Shrug,SL Two Arm Side Reach,
,,,Leg Ext. w/ Ball,,,Serratus Press Variation,,Lengthened Curl Variation,,,Flutter Kicks,,Calf Raises - SL,ADductor Rock,Hang Jump Shrug,SL Two Arm Reach,
,,,Prone Hip Ext.,,,Tricep Kickback,,Rev Grip Curl,,,Stab Ball Saw,,Supermans,Wall Squat + T Spine Curls,Press Under,SL Contra Reach,
,,,,,,,,Rear Delt Fly,,,Sit Ups,,Prone Leg Lifts,Squat + T Spine Curls,Press Under Quick Drop,SL 1/4 Squat w/Assist + Head Rotation,
,,,,,,,,,,,Stab Ball Plank,,,Kneeling Wall Rot,,SL 1/4 Squat w/Assist + eyes,
,,,,,,,,,,,Elbow Plank,,,Forward Fold + Ankle Pointing,,SL 1/4 Squat w/Assist,
,,,,,,,,,,,Pallof OH Side Bend,,,Standing Ankle Rotations,,,
,,,,,,,,,,,Pallof OH Hold,,,Seated Ankle Rotations,,,
,,,,,,,,,,,Pallof Lunge Press,,,Barbell Adductor Stretch,,,
,,,,,,,,,,,Pallof Press,,,Barbell Adductor Stretch + SS,,,
,,,,,,,,,,,Pallof Squat Hold,,,Hip Snapper Hold,,,
,,,,,,,,,,,Pallof Hold,,,Hip Snapper Hold + Twist,,,
,,,,,,,,,,,Bird Dog,,,Seated Butterfly Rocks,,,
,,,,,,,,,,,Dead Bug,,,90/90 Rot + Reach,,,
,,,,,,,,,,,TRX Kneeling Fallout,,,Lifted Pigeon,,,
,,,,,,,,,,,Side Lying Leg Lift,,,Windscreen Wipers,,,
,,,,,,,,,,,DNS Star,,,Egg Rocks + Splits,,,
,,,,,,,,,,,,,,Heal Rocks,,,
,,,,,,,,,,,,,,Finger Rocks,,,
,,,,,,,,,,,,,,Fist Rocks,,,
,,,,,,,,,,,,,,Seated Wrists Rolls,,,
,,,,,,,,,,,,,,Snatch Sots Press,,,
,,,,,,,,,,,,,,Seated Tricep Stretch,,,
,,,,,,,,,,,,,,Standing Chest Stretch,,,
,,,,,,,,,,,,,,Raised Ankle Glide + Weight,,,
,,,,,,,,,,,,,,Squat Curls,,,
,,,,,,,,,,,,,,Banded Wrist Pulls,,,
,,,,,,,,,,,,,,Wall Dish to Hollow,,,
,,,,,,,,,,,,,,Box Hip Hold,,,
,,,,,,,,,,,,,,Pelvic Tilts,,,
,,,,,,,,,,,,,,Kneeling Hamstring Hold,,,
,,,,,,,,,,,,,,Inch Worm,,,
,,,,,,,,,,,,,,Wall Ankle Stretch,,,
,,,,,,,,,,,,,,Squat Bounces,,,
,,,,,,,,,,,,,,Standing Hamstring Stretch,,,
,,,,,,,,,,,,,,Quad Stretch,,,
,,,,,,,,,,,,,,Front Rack Corrector,,,
,,,,,,,,,,,,,,Ankle Shuffle,,,
,,,,,,,,,,,,,,Duck Walk,,,
,,,,,,,,,,,,,,Prone Lat Stretch,,,
,,,,,,,,,,,,,,Weighted Bottom Squat,,,
,,,,,,,,,,,,,,Weight Hip Glide,,,
,,,,,,,,,,,,,,World Greatest Stretch,,,
,,,,,,,,,,,,,,Rotator Cuff Stretch,,,
,,,,,,,,,,,,,,Banded Snatch Pass Over,,,
,,,,,,,,,,,,,,Hamstring Extensions,,,
,,,,,,,,,,,,,,Knee Glides,,,
,,,,,,,,,,,,,,Hip Glides,,,
,,,,,,,,,,,,,,Kneeling Lat Stretch,,,
,,,,,,,,,,,,,,Clean Sots Press,,,
,,,,,,,,,,,,,,Snatch Sots Press,,,
,,,,,,,,,,,,,,Doorway Hip Opener,,,
,,,,,,,,,,,,,,Hip Circles,,,
,,,,,,,,,,,,,,Hip Flexor Thrust,,,
,,,,,,,,,,,,,,Lateral Sway/Cossack Squats,,,
,,,,,,,,,,,,,,Seated Lateral Arm Raises,,,
,,,,,,,,,,,,,,Plate Raisers,,,
,,,,,,,,,,,,,,PVC Pass Overs,,,
,,,,,,,,,,,,,,OH Palm Rollers with Bar,,,
,,,,,,,,,,,,,,Squat Pass Over,,,
,,,,,,,,,,,,,,Turtle Squat,,,
,,,,,,,,,,,,,,Cradle Rocks,,,
,,,,,,,,,,,,,,Wall Squat Slides,,,
,,,,,,,,,,,,,,Wall Glute Stretch,,,
,,,,,,,,,,,,,,Forearm Glides,,,
,,,,,,,,,,,,,,Rhomboid Stretch,,,
,,,,,,,,,,,,,,Shoulder Barbell Rollover,,,
,,,,,,,,,,,,,,Scap Presses,,,
,,,,,,,,,,,,,,Med Ball Pull Overs,,,
,,,,,,,,,,,,,,Front Rac Openers,,,
,,,,,,,,,,,,,,Ballet Reach,,,
,,,,,,,,,,,,,,Wall V-sit,,,
,,,,,,,,,,,,,,Bottom Squat Wall Twists,,,
,,,,,,,,,,,,,,Wall Calf Raisers,,,
,,,,,,,,,,,,,,Half Prayer,,,
,,,,,,,,,,,,,,Hip Snapper Sots Press,,,
,,,,,,,,,,,,,,DD Kick Overs,,,
,,,,,,,,,,,,,,Skull Crush Hang,,,
,,,,,,,,,,,,,,Seated Snatches,,,
,,,,,,,,,,,,,,OH Weighted Duck Walk,,,